id;nickname;fio;email;phone_number;password;created_at
a370e1a5-4dfa-4175-8742-c3184dbd49c5;nickname0;Victoria Turner;davislisa@gmail.com;+1-369-681-2616x1793;123;2025-09-13 09:38:36
e2151987-7374-46c4-994b-4d456f1abe36;nickname1;Lynn Williams;edward23@yahoo.com;410.588.8140;123;2025-09-13 09:38:36
fcb49128-57db-4601-ae0c-61b1f9702dc7;nickname2;Nicole Ramos;savannah44@hotmail.com;847-468-5652x48759;123;2025-09-13 09:38:36
609a7689-f2af-4a03-8925-4d5b50d4e4cf;nickname3;Richard Mitchell;crystal17@yahoo.com;001-738-787-0403;123;2025-09-13 09:38:36
6fdaed1d-a398-477c-8558-a8c29283292e;nickname4;Jennifer Gonzalez;wilsonchristian@hotmail.com;(263)746-0659x6642;123;2025-09-13 09:38:36
525aea10-a3e3-4330-9a62-c34edbdaba1c;nickname5;Aaron Coleman;lvalentine@gmail.com;+1-515-292-9995x106;123;2025-09-13 09:38:36
e4c3af99-b736-4917-b475-b64480f0fe11;nickname6;Christopher Stephens;christiangiles@gmail.com;424.488.7382;123;2025-09-13 09:38:36
d298f56a-8fde-4d7e-a856-d4ae533b6359;nickname7;Matthew Nolan;carolyn41@hotmail.com;498.457.3741;123;2025-09-13 09:38:36
231c2358-963b-4d43-ba52-e67d825c386d;nickname8;Terry Weber;johnsonmary@gmail.com;+1-317-936-8016x1446;123;2025-09-13 09:38:36
ce86ace3-d380-4662-811a-bcf26c103a71;nickname9;Brandi Burns;heather55@hotmail.com;633-420-4702x536;123;2025-09-13 09:38:36
